Id,CreationDate,CommunityOwnedDate,Title,Tags,Score,ViewCount,AnswerCount,CommentCount,FavoriteCount
"5963269","2011-05-11 11:12:02","2011-05-12 13:21:49","How to make a great R reproducible example?","<r><r-faq>","1597","127326","21","12","686"
"2039904","2010-01-11 04:21:53","2010-01-14 04:01:48","What statistics should a programmer (or computer scientist) know?","<performance><r><statistics><nlp>","375","34192","17","12","444"
"1189759","2009-07-27 18:17:42","2009-08-20 21:59:48","Expert R users, what's in your .Rprofile?","<r><terminal><customization><rprofile>","228","50091","24","5","198"
"5465314","2011-03-28 21:31:11","2011-03-28 22:17:38","Tools for making latex tables in R","<r><table><latex>","216","86688","8","2","175"
"2076370","2010-01-16 06:03:53","2010-01-17 23:58:08","Most underused data visualization","<graphics><r><visualization><plot><ggplot2>","154","21727","15","8","174"
"7027288","2011-08-11 14:04:19","2011-08-11 14:41:00","Error: could not find function ... in R","<r><function><error-handling><r-faq>","100","142900","9","5","25"
"1295955","2009-08-18 19:26:27","2009-11-08 07:33:56","What is the most useful R trick?","<r><tips-and-tricks>","88","61679","34","6","328"
"1097367","2009-07-08 10:58:40","2011-03-04 21:22:12","What IDEs are available for R in Linux?","<r><ide>","70","43181","17","0","22"
"9674027","2012-03-12 20:06:16","2012-03-13 09:00:21","Implementing standard software design patterns (focus on MVC) in R","<r><design-patterns><pass-by-reference><reference-class>","53","2347","1","2","20"
"2860314","2010-05-18 19:13:35","2010-05-18 19:13:35","Essential skills of a Data Scientist","<r>","47","13947","11","3","43"
"6796490","2011-07-22 21:49:49","2011-08-02 16:30:50","What core packages should a professional R developer have, and why?","<unit-testing><debugging><r><development-environment>","40","4877","3","6","46"
"2252144","2010-02-12 13:46:56","2010-02-13 18:35:26","Datasets for Running Statistical Analysis on","<r><statistics><dataset>","38","8760","17","0","49"
"3485456","2010-08-14 22:54:33","2010-08-14 22:54:33","Useful little functions in R?","<r>","32","11640","7","6","49"
"1173463","2009-07-23 18:01:31","2009-08-21 21:38:11","Recommendations for Windows text editor for R","<r><text-editor>","30","39402","15","0","11"
"2901198","2010-05-25 00:04:45","2010-05-25 00:04:45","Useful keyboard shortcuts and tips for ESS/R","<emacs><r><elisp><ess>","25","6521","5","0","23"
"6246762","2011-06-05 23:57:39","2011-06-06 13:50:47","slick one-lineRs","<r><tips-and-tricks>","24","2667","17","12","27"
"1708934","2009-11-10 15:46:14","2009-11-10 15:54:51","What useful R package doesn't currently exist?","<r><packages>","21","1699","12","4","14"
"4771144","2011-01-22 22:50:58","2011-01-24 18:14:40","Sharing large datasets between Matlab and R","<r><matlab><hdf5><ramdisk>","14","2945","2","0","7"
"7305803","2011-09-05 08:54:17","2011-09-06 22:47:49","Plot probability heatmap/hexbin with different sized bins","<r><plot><probability><heatmap>","14","2110","2","3","4"
"9220849","2012-02-10 00:01:10","2012-02-10 12:57:10","Serious Memory Leak When Iteratively Parsing XML Files","<xml><r><memory-leaks><web-scraping><bigdata>","14","2232","2","12","4"
"2192576","2010-02-03 14:26:26","2010-02-03 14:26:26","Execution Efficiency vs Programmer Efficiency in R","<performance><r>","12","1484","3","4","2"
"14091662","2012-12-30 14:47:52","2013-01-02 13:24:51","bootstrapping hierarchical/multilevel data (resampling clusters)","<r><hierarchical-clustering><statistics-bootstrap>","12","3240","2","4","2"
"2318368","2010-02-23 13:19:53","2010-02-23 13:19:53","Can a function in R return two vectors?","<r><function>","11","7299","1","1","2"
"30006822","2015-05-02 19:58:00","2016-04-02 23:50:28","Read SAS sas7bdat data into R","<r>","11","8827","2","4","3"
"3125527","2010-06-26 21:15:08","2010-06-26 21:15:16","What are the advantages/disadvantages between R and MATLAB with respect to Machine Learning?","<matlab><r><machine-learning>","10","11114","3","2","6"